From,To,Year of order,Duration,Quantity,Weapon description
Russia,Afghanistan,2004.0,1,6.0,aircraft engine
United Kingdom,Afghanistan,2009.0,1,2.0,transport helicopter
United States,Afghanistan,2011.0,1,6.0,light helicopter
Russia,Afghanistan,2011.0,2,21.0,transport helicopter
Russia,Afghanistan,2010.0,1,10.0,transport helicopter
Ukraine,Afghanistan,2007.0,1,4.0,transport aircraft
Czechia,Afghanistan,2007.0,2,6.0,transport helicopter
Czechia,Afghanistan,2007.0,2,6.0,combat helicopter
Russia,Afghanistan,2009.0,1,4.0,transport helicopter
India,Afghanistan,2015.0,2,4.0,combat helicopter
Belarus,Afghanistan,2018.0,1,4.0,combat helicopter
United States,Afghanistan,2014.0,1,222.0,APC
Russia,Afghanistan,2013.0,1,30.0,transport helicopter
United States,Afghanistan,2017.0,2,30.0,light helicopter
United States,Afghanistan,2019.0,2,12.0,light helicopter
United States,Afghanistan,2015.0,1,55.0,APC
Russia,Afghanistan,2002.0,1,3.0,transport helicopter
Russia,Afghanistan,2013.0,1,12.0,transport helicopter
United States,Afghanistan,2016.0,1,433.0,APV
Turkiye,Afghanistan,2007.0,1,24.0,towed gun
United States,Afghanistan,2014.0,1,12.0,light helicopter
United States,Albania,2022.0,1,0.0,anti-tank missile
Soviet Union,Albania,1954.0,1,24.0,fighter aircraft
Soviet Union,Albania,1961.0,1,2.0,submarine
Soviet Union,Albania,1958.0,1,4.0,patrol craft
China,Albania,1974.0,2,6.0,patrol craft
Soviet Union,Albania,1957.0,3,6.0,minesweeper
United States,Albania,2016.0,1,3.0,APC
United States,Albania,2018.0,1,37.0,APC
Soviet Union,Albania,1953.0,2,6.0,FAC
France,Albania,2009.0,3,4.0,transport helicopter
United States,Albania,2020.0,1,0.0,transport helicopter
Italy,Algeria,2011.0,1,1.0,AALS
Finland,Algeria,2011.0,1,2.0,ship engine
Russia,Algeria,2013.0,1,6.0,transport helicopter
United States,Algeria,1977.0,1,3.0,air search radar
France,Algeria,1994.0,1,9.0,light helicopter
China,Algeria,1989.0,2,7.0,patrol craft
United Kingdom,Algeria,1981.0,1,2.0,landing ship
United States,Algeria,1962.0,1,2.0,light transport aircraft
Soviet Union,Algeria,1976.0,1,1.0,landing ship
Russia,Algeria,2006.0,1,2.0,submarine
Germany,Algeria,2012.0,1,2.0,frigate
Russia,Algeria,2014.0,1,2.0,submarine
United States,Algeria,2012.0,1,2.0,gas turbine
Denmark,Algeria,2012.0,2,2.0,air/sea search radar
Russia,Algeria,2006.0,3,185.0,tank
France,Algeria,2012.0,1,2.0,ASW sonar
Netherlands,Algeria,2013.0,2,3.0,air search radar
Russia,Algeria,2015.0,1,8.0,transport helicopter
Italy,Algeria,2014.0,1,1.0,MCM ship
Turkiye,Algeria,2022.0,1,0.0,armed UAV
United Kingdom,Algeria,2007.0,3,4.0,helicopter
Canada,Angola,2022.0,1,0.0,aircraft engine
France,Angola,2023.0,1,0.0,corvette
Netherlands,Angola,2005.0,1,1.0,transport aircraft
Canada,Angola,1980.0,1,1.0,MP aircraft radar
Soviet Union,Angola,1975.0,1,32.0,APC
Russia,Angola,1993.0,2,30.0,tank
Bulgaria,Angola,1993.0,1,29.0,IFV
Spain,Angola,1991.0,2,4.0,patrol craft
Canada,Angola,1986.0,1,4.0,aircraft engine
Spain,Angola,1988.0,1,4.0,transport aircraft
Switzerland,Angola,1986.0,1,4.0,trainer aircraft
Portugal,Angola,1975.0,2,5.0,patrol craft
France,Angola,1985.0,1,6.0,helicopter
Spain,Angola,1985.0,2,8.0,transport aircraft
Portugal,Angola,1983.0,1,2.0,light helicopter
Switzerland,Angola,1981.0,1,12.0,trainer aircraft
Switzerland,Angola,1976.0,1,4.0,light transport aircraft
Algeria,Angola,1980.0,1,4.0,transport aircraft
Netherlands,Angola,1980.0,1,1.0,maritime patrol aircraft
Moldova,Angola,2000.0,2,2.0,transport aircraft
Canada,Angola,2018.0,1,4.0,aircraft engine
South Africa,Angola,2012.0,1,2.0,naval SAM system
China,Angola,2018.0,1,2.0,transport aircraft
Belarus,Angola,2017.0,1,4.0,self-propelled MRL
Russia,Angola,2013.0,3,12.0,FGA aircraft
Spain,Angola,2022.0,1,0.0,transport aircraft
Canada,Angola,1981.0,1,12.0,aircraft engine
Spain,Angola,2022.0,1,0.0,maritime patrol aircraft
Portugal,Angola,1975.0,1,6.0,bomber aircraft
South Africa,Angola,2013.0,2,45.0,APC
Soviet Union,Angola,1977.0,2,3.0,landing ship
United States,Angola,2023.0,1,0.0,turbofan
unknown supplier(s),Antigua and Barbuda,2023.0,1,1.0,light transport aircraft
Dominican Republic,Antigua and Barbuda,2021.0,1,1.0,light transport aircraft
United States,Argentina,1977.0,1,4.0,light transport aircraft
Norway,Argentina,2023.0,1,0.0,ASW aircraft
Denmark,Argentina,2018.0,2,3.0,air/sea search radar
United Kingdom,Argentina,1970.0,2,2.0,destroyer
Norway,Argentina,2023.0,1,0.0,maritime patrol aircraft
United States,Argentina,1965.0,3,50.0,FGA aircraft
United States,Argentina,2023.0,1,0.0,transport aircraft
United Kingdom,Argentina,1978.0,2,8.0,ship engine
United Kingdom,Argentina,1978.0,2,8.0,ship engine
United Kingdom,Argentina,1980.0,1,10.0,turbojet
United States,Argentina,1987.0,1,1.0,cargo ship
United States,Argentina,2001.0,1,1.0,light helicopter
United States,Argentina,2007.0,2,4.0,transport helicopter
United States,Argentina,2021.0,1,0.0,light transport aircraft
France,Argentina,1999.0,1,1.0,replenishment ship
France,Argentina,1981.0,1,57.0,tank turret
United Kingdom,Argentina,1997.0,1,9.0,APC
United States,Argentina,1993.0,1,3.0,ASW aircraft
Russia,Argentina,1997.0,2,8.0,trainer aircraft
France,Argentina,1993.0,1,4.0,ASW helicopter
Netherlands,Argentina,1982.0,1,1.0,air search radar
United States,Argentina,1992.0,1,2.0,transport aircraft
Netherlands,Argentina,1978.0,2,4.0,air search radar
Netherlands,Argentina,1978.0,2,4.0,fire control radar
United States,Argentina,1978.0,1,6.0,helicopter
United States,Argentina,1951.0,1,2.0,cruiser
United Kingdom,Argentina,1958.0,1,1.0,aircraft carrier
United States,Argentina,1972.0,1,2.0,destroyer
United States,Argentina,1974.0,1,1.0,destroyer
United States,Argentina,1973.0,1,1.0,destroyer
United States,Argentina,1971.0,1,1.0,submarine
United States,Argentina,1970.0,1,1.0,AALS
United States,Argentina,1971.0,1,4.0,landing ship
Netherlands,Argentina,1968.0,1,1.0,aircraft carrier
United States,Argentina,1981.0,1,1.0,light transport aircraft
Peru,Argentina,1982.0,1,10.0,FGA aircraft
Austria,Argentina,1981.0,1,57.0,light tank
Germany,Argentina,1970.0,1,2.0,FAC
Italy,Argentina,1980.0,1,10.0,trainer/combat aircraft
United States,Argentina,1980.0,1,1.0,light transport aircraft
United States,Argentina,1971.0,1,4.0,ASW helicopter
United States,Argentina,1972.0,1,6.0,light helicopter
United States,Argentina,1973.0,1,3.0,transport aircraft
France,Argentina,1979.0,2,14.0,FGA aircraft
Germany,Argentina,1977.0,2,2.0,submarine
France,Argentina,1979.0,1,1.0,corvette
France,Argentina,1978.0,1,9.0,helicopter
United States,Argentina,1978.0,1,2.0,tanker/transport aircraft
United Kingdom,Argentina,1977.0,1,2.0,ASW helicopter
Italy,Argentina,1972.0,1,3.0,transport aircraft
France,Argentina,1977.0,1,7.0,FGA aircraft
United States,Argentina,1977.0,1,16.0,trainer aircraft
Brazil,Argentina,2007.0,1,1.0,helicopter
Netherlands,Argentina,1968.0,1,8.0,transport aircraft
Netherlands,Argentina,1971.0,1,2.0,transport aircraft
United States,Argentina,2009.0,2,5.0,light helicopter
China,Argentina,2008.0,1,4.0,APC
United States,Argentina,1980.0,1,5.0,vehicle engine
Italy,Argentina,1970.0,1,2.0,naval gun
France,Argentina,2018.0,1,1.0,OPV
Germany,Argentina,1979.0,6,6.0,frigate
