From,To,Year of order,Duration,Quantity,Weapon description,Weight
Russia,Afghanistan,2004.0,1,6.0,aircraft engine,2.0
United Kingdom,Afghanistan,2009.0,1,2.0,transport helicopter,3.0
United States,Afghanistan,2011.0,1,6.0,light helicopter,2.0
Russia,Afghanistan,2011.0,2,21.0,transport helicopter,3.0
Russia,Afghanistan,2010.0,1,10.0,transport helicopter,3.0
Ukraine,Afghanistan,2007.0,1,4.0,transport aircraft,3.0
Czechia,Afghanistan,2007.0,2,6.0,transport helicopter,3.0
Czechia,Afghanistan,2007.0,2,6.0,combat helicopter,5.0
Russia,Afghanistan,2009.0,1,4.0,transport helicopter,3.0
India,Afghanistan,2015.0,2,4.0,combat helicopter,5.0
Belarus,Afghanistan,2018.0,1,4.0,combat helicopter,5.0
United States,Afghanistan,2014.0,1,222.0,APC,3.0
Russia,Afghanistan,2013.0,1,30.0,transport helicopter,3.0
United States,Afghanistan,2017.0,2,30.0,light helicopter,2.0
United States,Afghanistan,2019.0,2,12.0,light helicopter,2.0
United States,Afghanistan,2015.0,1,55.0,APC,3.0
Russia,Afghanistan,2002.0,1,3.0,transport helicopter,3.0
Russia,Afghanistan,2013.0,1,12.0,transport helicopter,3.0
United States,Afghanistan,2016.0,1,433.0,APV,3.0
Turkiye,Afghanistan,2007.0,1,24.0,towed gun,3.0
United States,Afghanistan,2014.0,1,12.0,light helicopter,2.0
United States,Albania,2022.0,1,0.0,anti-tank missile,5.0
Soviet Union,Albania,1954.0,1,24.0,fighter aircraft,8.0
Soviet Union,Albania,1961.0,1,2.0,submarine,8.0
Soviet Union,Albania,1958.0,1,4.0,patrol craft,2.0
China,Albania,1974.0,2,6.0,patrol craft,2.0
Soviet Union,Albania,1957.0,3,6.0,minesweeper,2.0
United States,Albania,2016.0,1,3.0,APC,3.0
United States,Albania,2018.0,1,37.0,APC,3.0
Soviet Union,Albania,1953.0,2,6.0,FAC,3.0
France,Albania,2009.0,3,4.0,transport helicopter,3.0
United States,Albania,2020.0,1,0.0,transport helicopter,3.0
Italy,Algeria,2011.0,1,1.0,AALS,1.0
Finland,Algeria,2011.0,1,2.0,ship engine,2.0
Russia,Algeria,2013.0,1,6.0,transport helicopter,3.0
United States,Algeria,1977.0,1,3.0,air search radar,3.0
France,Algeria,1994.0,1,9.0,light helicopter,2.0
China,Algeria,1989.0,2,7.0,patrol craft,2.0
United Kingdom,Algeria,1981.0,1,2.0,landing ship,5.0
United States,Algeria,1962.0,1,2.0,light transport aircraft,2.0
Soviet Union,Algeria,1976.0,1,1.0,landing ship,5.0
Russia,Algeria,2006.0,1,2.0,submarine,8.0
